Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Projects_Completed,Performance_Score,Salary,Salary_Category
1123,50,Female,Bachelor,Marketing,10,49,8,2.8,64664,Medium
1124,57,Male,PhD,IT,1,58,18,1.1,42030,Low
1125,34,Male,Bachelor,HR,2,51,18,3.3,49657,Low
1126,53,Male,PhD,Sales,22,50,14,1.7,88146,Medium
1127,28,Female,Bachelor,Finance,11,48,15,3.6,70910,Medium
1128,43,Female,PhD,Marketing,19,42,6,4.0,91601,Medium
1129,49,Female,Bachelor,Sales,4,43,11,3.0,51561,Low
1130,23,Female,PhD,Finance,29,39,13,3.2,116063,High
1131,27,Male,Master,Finance,8,40,1,4.8,72140,Medium
1132,49,Male,PhD,IT,33,31,6,4.4,132643,High
1133,49,Female,Bachelor,HR,34,54,9,4.7,121641,High
1134,41,Male,Master,HR,21,55,8,4.3,99213,Medium
1135,51,Male,PhD,Sales,23,38,11,1.4,85552,Medium
1136,32,Female,Master,HR,16,46,19,1.6,75021,Medium
1137,49,Male,Master,Marketing,9,55,9,3.1,64281,Medium
1138,46,Female,Master,HR,29,32,17,2.0,115380,High
1139,54,Male,Bachelor,Sales,22,53,12,2.9,96449,Medium
1140,22,Female,Master,HR,31,35,14,2.6,119196,High
1141,48,Female,Master,Marketing,16,34,15,3.2,86765,Medium
1142,34,Female,PhD,IT,16,34,16,4.0,92138,Medium
1143,24,Female,Bachelor,Sales,13,51,1,3.9,77484,Medium
1144,27,Male,Bachelor,IT,8,44,10,3.1,62870,Medium
1145,29,Female,PhD,IT,1,52,8,4.3,49750,Low
1146,48,Female,PhD,IT,24,46,18,2.7,98087,Medium
1147,30,Female,Bachelor,Finance,8,38,1,4.6,64554,Medium
1148,58,Male,Master,Finance,21,32,2,1.3,76340,Medium
1149,54,Female,Bachelor,IT,3,49,1,4.8,51316,Low
1150,45,Male,Bachelor,Sales,25,55,1,3.6,98006,Medium
1151,36,Female,Bachelor,Marketing,28,46,9,2.5,116275,High
1152,53,Male,Bachelor,Marketing,33,58,13,1.8,120642,High
1153,53,Male,Master,HR,22,56,1,2.9,95970,Medium
1154,45,Female,Bachelor,Sales,10,39,13,1.8,58612,Low
1155,33,Male,PhD,Finance,5,32,7,1.7,49448,Low
1156,23,Female,PhD,IT,17,47,2,3.5,82260,Medium
1157,24,Female,Master,HR,20,47,6,3.1,93270,Medium
1158,58,Female,Master,Marketing,33,59,7,3.7,128528,High
1159,38,Male,Bachelor,Finance,16,46,14,4.7,84493,Medium
1160,23,Male,PhD,Finance,24,53,18,3.1,97997,Medium
1161,23,Female,Master,IT,11,32,15,3.3,75510,Medium
1162,49,Female,Bachelor,Marketing,22,32,2,1.4,90335,Medium
1163,44,Male,PhD,Sales,21,35,10,3.9,94194,Medium
1164,58,Female,PhD,Finance,20,42,12,2.6,88547,Medium
1165,53,Female,PhD,IT,26,53,17,4.9,109547,High
1166,54,Female,Master,Sales,30,58,8,4.3,121864,High
1167,22,Male,Master,Marketing,5,44,11,3.1,59058,Low
1168,40,Male,Bachelor,Finance,26,54,3,1.5,100861,High
1169,23,Male,PhD,Sales,33,38,6,4.4,141918,High
1170,47,Female,PhD,Sales,11,33,9,4.2,76406,Medium
1171,53,Female,Bachelor,Sales,6,43,6,1.7,52949,Low
1172,27,Female,Bachelor,Finance,9,34,9,2.2,56758,Low
1173,53,Male,Bachelor,Finance,16,31,7,4.2,85607,Medium
1174,25,Female,PhD,HR,25,40,9,1.7,95404,Medium
1175,32,Female,PhD,Marketing,20,38,18,4.7,87971,Medium
1176,38,Female,Bachelor,IT,27,53,12,2.7,113171,High
1177,59,Female,Master,Sales,1,32,8,1.3,35142,Low
1178,45,Male,Bachelor,HR,0,56,8,4.3,43397,Low
1179,26,Male,PhD,IT,25,57,18,2.5,103552,High
1180,55,Female,PhD,HR,28,58,15,3.1,114962,High
1181,27,Male,PhD,Finance,20,38,7,1.4,83996,Medium
1182,43,Male,Bachelor,Sales,10,32,11,1.0,58986,Low
1183,32,Female,Bachelor,IT,10,54,16,3.6,73130,Medium
1184,37,Female,Bachelor,IT,34,31,4,3.1,125599,High
1185,54,Male,Bachelor,IT,33,41,6,3.4,127611,High
1186,30,Female,PhD,IT,23,39,3,4.2,96003,Medium
1187,27,Male,PhD,IT,21,38,9,3.6,90693,Medium
1188,37,Female,PhD,HR,4,44,10,1.7,49827,Low
1189,50,Male,PhD,Sales,32,37,14,2.4,113132,High
1190,24,Female,Master,Finance,19,54,11,4.6,97070,Medium
1191,41,Male,Master,Finance,18,34,18,4.1,90665,Medium
1192,57,Male,PhD,Finance,34,40,12,3.2,125977,High
1193,40,Male,PhD,Finance,16,56,12,2.0,73857,Medium
1194,47,Female,Bachelor,HR,33,31,13,2.2,125846,High
1195,24,Male,Bachelor,Marketing,8,53,13,3.9,74249,Medium
1196,40,Male,Bachelor,Sales,25,57,19,4.4,111600,High
1197,41,Female,PhD,IT,1,44,19,3.7,48912,Low
1198,53,Female,Master,Marketing,8,35,14,4.2,63388,Medium
1199,28,Male,Bachelor,Finance,8,37,4,4.1,60419,Medium
1200,54,Male,Master,Marketing,16,56,13,1.6,76201,Medium
1201,39,Female,Master,Sales,0,34,8,2.7,35931,Low
1202,22,Female,Bachelor,IT,24,45,19,1.6,87536,Medium
1203,32,Female,Bachelor,IT,24,55,12,1.9,101617,High
1204,49,Female,Master,Sales,34,47,18,4.5,137260,High
1205,46,Female,Master,Sales,2,35,6,2.9,42305,Low
1206,44,Male,Master,Finance,29,34,18,3.1,116119,High
1207,52,Female,Master,IT,33,57,19,1.7,124309,High
1208,51,Male,PhD,Marketing,11,45,5,2.2,67325,Medium
1209,56,Male,Master,HR,18,42,9,1.9,76634,Medium
1210,28,Male,Master,HR,16,57,3,1.8,76035,Medium
1211,37,Female,PhD,Sales,9,34,10,3.6,73534,Medium
1212,47,Male,Bachelor,Finance,11,42,19,2.0,66735,Medium
1213,23,Male,Bachelor,HR,15,46,3,3.5,84195,Medium
1214,22,Female,Bachelor,IT,23,47,15,1.2,94008,Medium
1215,33,Male,Master,Sales,18,37,1,1.6,77122,Medium
1216,26,Male,Master,Marketing,7,42,7,2.1,52795,Low
1217,58,Female,Master,Sales,30,59,12,3.4,120294,High
1218,53,Male,Bachelor,Marketing,20,58,17,3.7,98884,Medium
1219,30,Male,Bachelor,Sales,16,48,5,2.8,86699,Medium
1220,56,Male,Bachelor,Sales,22,55,4,2.8,91909,Medium
1221,40,Female,Bachelor,Sales,15,32,12,3.9,85265,Medium
1222,37,Female,Master,Marketing,5,53,18,1.1,52835,Low
1223,24,Female,Bachelor,Marketing,7,37,17,2.4,52164,Low
1224,41,Male,Bachelor,Sales,24,31,19,4.3,114633,High
1225,45,Male,PhD,HR,17,37,9,3.4,94294,Medium
1226,54,Female,Bachelor,Finance,24,56,4,2.3,112325,High
1227,45,Male,Master,Finance,11,42,2,4.6,77054,Medium
1228,32,Male,Master,Finance,14,42,4,4.1,82582,Medium
1229,29,Female,Bachelor,Marketing,25,30,2,2.1,105034,High
1230,57,Female,Master,Marketing,25,35,15,3.6,110889,High
1231,59,Male,PhD,HR,31,53,2,3.4,126731,High
1232,41,Male,PhD,Finance,9,48,4,2.6,66820,Medium
1233,56,Male,Bachelor,Finance,15,45,6,2.5,76969,Medium
1234,46,Female,PhD,Sales,6,37,7,2.4,60709,Medium
1235,56,Female,Bachelor,Marketing,16,57,10,3.5,78643,Medium
1236,46,Female,Bachelor,Finance,22,30,19,2.8,96229,Medium
1237,50,Female,Bachelor,HR,25,56,19,4.3,117518,High
1238,39,Male,PhD,HR,20,56,12,3.7,88548,Medium
1239,39,Female,Bachelor,Finance,21,45,3,1.3,84312,Medium
1240,23,Female,Bachelor,Marketing,6,38,13,3.6,62758,Medium
1241,56,Female,Master,HR,13,42,18,2.1,72869,Medium
1242,37,Female,Bachelor,Sales,14,40,8,3.4,74224,Medium
1243,57,Female,Bachelor,HR,6,42,15,3.7,57719,Low
1244,54,Male,Bachelor,IT,8,54,1,1.9,51696,Low
1245,25,Male,Bachelor,IT,7,50,3,2.8,63602,Medium
1246,54,Female,Bachelor,Marketing,22,39,8,1.8,90920,Medium
1247,35,Male,Bachelor,Finance,28,33,4,1.2,113760,High
1248,42,Female,Master,Marketing,17,56,16,2.5,82905,Medium
1249,41,Female,Bachelor,Marketing,30,35,10,2.5,113901,High
1250,29,Male,Bachelor,Marketing,29,57,12,5.0,120915,High
